model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model04,0.9,6,34.7,2926.0,400.0
model03,1.1,33,78.8,7024.0,698.0
model04,2.0,25,60.9,5683.0,871.0
model03,1.5,34,87.7,7153.0,987.0
model01,0.2,3,22.8,2242.0,161.0
model02,0.1,7,32.3,3171.0,123.0
model04,1.6,16,52.4,4510.0,729.0
model01,0.3,18,54.8,5065.0,276.0
model01,1.7,4,27.0,2616.0,519.0
model03,1.9,14,40.7,3827.0,642.0
model02,0.7,27,80.2,7501.0,503.0
model04,0.8,19,53.6,5145.0,448.0
model02,1.8,10,32.0,3268.0,571.0
model03,1.9,5,26.2,2563.0,537.0
model03,1.3,34,82.6,6627.0,814.0
model01,1.1,2,24.4,2396.0,396.0
model02,1.9,8,31.4,3063.0,568.0
model04,1.6,14,40.6,3912.0,631.0
model04,1.0,8,34.2,3287.0,431.0
model03,1.1,8,31.5,3048.0,403.0
model03,1.4,7,31.4,3002.0,485.0
model03,0.6,10,32.7,3187.0,306.0
model02,2.0,27,72.5,6462.0,915.0
model02,1.2,14,44.2,4048.0,497.0
model01,1.0,15,43.2,4073.0,477.0
model04,0.0,4,25.2,2504.0,49.0
model02,1.1,6,31.1,2971.0,401.0
model01,1.9,31,82.0,6614.0,1003.0
model03,1.3,31,82.5,4883.0,811.0
model02,1.8,29,72.6,6928.0,879.0
model03,1.7,4,26.6,2660.0,512.0
model04,1.9,19,52.9,4998.0,791.0
model03,1.4,21,63.9,4621.0,699.0
model03,1.3,14,41.0,3801.0,528.0
model03,0.5,20,48.1,4757.0,329.0
model01,1.5,15,41.0,3815.0,623.0
model03,1.0,18,51.1,4775.0,520.0
model03,1.2,7,30.8,2888.0,436.0
model04,1.5,25,60.9,5589.0,769.0
model01,1.2,5,23.7,2352.0,410.0
model02,0.0,3,25.3,2553.0,49.0
model02,0.2,17,57.2,5006.0,221.0
model03,0.1,12,43.0,3874.0,140.0
model02,1.7,1,26.9,2665.0,515.0
model03,0.6,14,41.6,3954.0,336.0
model02,0.5,18,48.1,4695.0,329.0
model03,1.7,1,26.7,2602.0,513.0
model01,0.5,11,42.3,3865.0,308.0
model01,1.3,20,50.0,4582.0,617.0
model02,0.1,33,86.2,8095.0,194.0
model03,1.3,10,29.6,3030.0,469.0
model02,0.4,32,86.6,8216.0,384.0
model02,0.5,20,48.1,4834.0,330.0
model01,0.8,33,88.5,7457.0,669.0
model02,1.7,35,83.0,7710.0,937.0
model03,0.0,33,84.0,7916.0,66.0
model04,1.7,10,33.5,3266.0,579.0
model03,0.1,22,62.1,5547.0,164.0
model02,2.0,34,81.9,7599.0,1006.0
model04,0.4,18,51.8,4771.0,297.0
model02,0.3,25,63.1,6022.0,290.0
model02,1.1,27,71.8,6254.0,640.0
model03,1.3,19,49.4,4520.0,585.0
model03,1.8,15,42.0,3987.0,638.0
model03,1.2,15,43.0,3859.0,506.0
model04,1.4,10,31.4,3050.0,515.0
model01,0.2,19,57.0,5215.0,229.0
model04,0.0,24,63.7,6191.0,60.0
model02,1.9,15,40.8,3909.0,652.0
model02,0.5,6,31.8,2858.0,274.0
model01,1.1,32,78.2,6518.0,714.0
model03,1.6,15,40.7,3895.0,604.0
model02,1.8,30,72.4,6914.0,886.0
model04,1.9,1,26.1,2410.0,569.0
model02,0.4,7,34.4,3297.0,249.0
model04,1.0,35,84.8,7797.0,718.0
model03,0.0,35,84.3,8105.0,68.0
model03,0.7,13,41.8,3954.0,364.0
model03,0.9,23,62.0,5820.0,506.0
model04,1.3,15,41.1,3862.0,556.0
model03,0.8,22,64.1,5896.0,476.0
model02,1.0,27,73.2,6673.0,613.0
model01,1.1,8,30.9,3030.0,411.0
model03,0.4,5,23.6,2288.0,217.0
model04,1.2,1,23.6,2369.0,405.0
model03,0.4,10,34.2,3210.0,251.0
model04,1.8,10,33.5,3247.0,603.0
model02,1.6,8,32.1,3156.0,565.0
model04,1.4,8,31.4,3017.0,520.0
model02,0.5,15,42.3,4039.0,307.0
model02,0.5,16,48.1,4320.0,324.0
model04,0.5,14,42.4,4113.0,315.0
model03,1.7,18,53.5,4913.0,689.0
model04,0.7,14,41.6,3921.0,374.0
model04,1.1,2,24.2,2379.0,398.0
model04,0.5,12,42.3,3921.0,313.0
model02,0.7,12,42.2,3874.0,361.0
model04,1.7,20,52.6,4971.0,732.0
model04,0.7,27,77.0,6822.0,509.0
