model,NaCl_Percent,Rep,RAW_Temp,M_Temp,EC
model03,1.4,14,41.4,3948.0,546.0
model03,0.6,22,66.9,5896.0,416.0
model03,1.4,30,77.4,6462.0,824.0
model03,1.3,23,63.4,5886.0,697.0
model03,1.4,29,77.8,6377.0,825.0
model03,0.6,28,72.5,6822.0,445.0
model03,0.7,35,84.2,7363.0,608.0
model03,0.1,20,52.9,5045.0,150.0
model03,0.5,35,87.0,8105.0,455.0
model03,1.9,7,31.6,3020.0,567.0
model03,0.9,20,51.1,4681.0,463.0
model03,0.4,32,87.0,7608.0,379.0
model03,1.6,1,25.4,2492.0,485.0
model03,1.0,9,34.1,3276.0,412.0
model03,0.8,31,87.0,5860.0,625.0
model03,1.1,2,24.3,2381.0,384.0
model03,1.7,14,40.7,3868.0,564.0
model03,2.0,5,24.6,2410.0,538.0
model03,1.8,1,25.6,2420.0,523.0
model03,0.3,4,24.0,2340.0,192.0
model03,1.5,28,76.0,5707.0,870.0
model03,0.7,27,78.8,7289.0,504.0
model03,0.0,24,63.3,6016.0,60.0
model03,1.2,4,23.6,2345.0,401.0
model03,0.9,33,86.0,6808.0,768.0
model03,1.0,15,43.6,4150.0,461.0
model03,1.8,26,72.2,5321.0,863.0
model03,1.4,13,41.5,3889.0,551.0
model03,1.5,4,25.5,2546.0,472.0
model03,0.9,32,85.7,6588.0,765.0
model03,0.9,6,34.6,2913.0,388.0
model03,0.5,22,64.0,5712.0,367.0
model03,0.6,32,88.2,8020.0,515.0
model03,1.0,16,51.2,4610.0,522.0
model03,0.1,13,43.0,3892.0,139.0
model03,1.8,25,62.2,5979.0,800.0
model03,0.4,33,87.0,7826.0,374.0
model03,0.5,1,25.1,2348.0,254.0
model03,0.6,34,88.2,8331.0,517.0
model03,1.1,29,71.6,6706.0,648.0
model03,1.4,32,89.0,7510.0,895.0
model03,1.8,34,82.9,7768.0,961.0
model03,0.3,14,47.3,4412.0,253.0
model03,1.7,25,61.6,5756.0,745.0
model03,1.5,12,40.7,3627.0,581.0
model03,1.9,15,40.7,3912.0,647.0
